,cities,lat,long,d1,d2,d3,sharp2,heat2,sharp3,heat3,sharp4,heat4,sharp5,heat5,sharp6,heat6,sharp7,heat7,sharp8,heat8,sharp9,heat9,sharp10,heat10
0,怀宁,30.733823,116.829739,-0.108367015,0.104057155,0.04830536,Cluster 2,Cluster 2_a,Cluster 1,Z,Cluster 4,Z,Cluster 2,Cluster 2_a,Cluster 6,Cluster 6_b,Cluster 6,Z,Cluster 4,Z,Cluster 4,Z,Cluster 10,Z
1,潜山,30.631079,116.581321,-0.130077919,0.091553194,0.037787075,Cluster 2,Cluster 2_a,Cluster 1,Z,Cluster 4,Z,Cluster 2,Cluster 2_a,Cluster 6,Cluster 6_a,Cluster 1,Z,Cluster 4,Z,Cluster 5,Z,Cluster 10,Z
2,宿松,30.153655,116.129216,-0.021132561,0.161008593,0.038041028,Cluster 2,Z,Cluster 3,Cluster 3_a,Cluster 4,Cluster 4_a,Cluster 1,Z,Cluster 4,Cluster 4_a,Cluster 6,Cluster 6_a,Cluster 3,Cluster 3_a,Cluster 4,Cluster 4_a,Cluster 10,Z
3,太湖,30.459657,116.299767,-0.100525716,0.122680705,0.048268654,Cluster 2,Cluster 2_b,Cluster 3,Z,Cluster 4,Cluster 4_b,Cluster 2,Cluster 2_a,Cluster 6,Z,Cluster 6,Z,Cluster 3,Z,Cluster 4,Z,Cluster 10,Cluster 10_a
4,桐城,31.035845,116.974134,-0.171471164,0.036247453,-0.008741615,Cluster 2,Cluster 2_a,Cluster 1,Cluster 1_b,Cluster 2,Z,Cluster 2,Cluster 2_a,Cluster 6,Cluster 6_a,Cluster 1,Cluster 1_a,Cluster 4,Cluster 4_a,Cluster 5,Cluster 5_a,Cluster 8,Cluster 8_a
5,望江,30.124415,116.694212,-0.104175325,0.124081045,0.049788673,Cluster 2,Cluster 2_a,Cluster 3,Z,Cluster 4,Cluster 4_b,Cluster 2,Cluster 2_a,Cluster 6,Z,Cluster 6,Z,Cluster 4,Z,Cluster 4,Z,Cluster 10,Z
6,安庆,30.542932,117.063518,-0.167661681,0.045031212,0.001374516,Cluster 2,Cluster 2_a,Cluster 1,Cluster 1_a,Cluster 2,Cluster 2_b,Cluster 2,Cluster 2_a,Cluster 6,Cluster 6_a,Cluster 1,Cluster 1_a,Cluster 4,Cluster 4_a,Cluster 5,Cluster 5_a,Cluster 8,Cluster 8_a
7,岳西,30.849389,116.359972,-0.144761444,0.07421446,0.030103473,Cluster 2,Cluster 2_a,Cluster 1,Cluster 1_b,Cluster 2,Z,Cluster 2,Cluster 2_a,Cluster 6,Cluster 6_a,Cluster 1,Z,Cluster 4,Cluster 4_a,Cluster 5,Cluster 5_a,Cluster 8,Z
8,枞阳,30.699619,117.220187,-0.169959061,0.081843854,0.00185499,Cluster 2,Cluster 2_a,Cluster 1,Cluster 1_b,Cluster 2,Z,Cluster 2,Cluster 2_a,Cluster 6,Cluster 6_a,Cluster 1,Cluster 1_b,Cluster 4,Cluster 4_a,Cluster 5,Cluster 5_a,Cluster 8,Cluster 8_a
9,五河,33.145073,117.885279,-0.257940922,-0.054053795,-0.032260683,Cluster 2,Cluster 2_a,Cluster 1,Cluster 1_a,Cluster 2,Cluster 2_a,Cluster 5,Cluster 5_a,Cluster 2,Cluster 2_a,Cluster 7,Cluster 7_b,Cluster 6,Z,Cluster 9,Z,Cluster 2,Z
10,利辛,33.144854,116.208398,-0.265110515,-0.086412873,-0.053298078,Cluster 2,Cluster 2_a,Cluster 1,Cluster 1_a,Cluster 2,Cluster 2_a,Cluster 5,Cluster 5_a,Cluster 2,Cluster 2_a,Cluster 7,Cluster 7_a,Cluster 2,Z,Cluster 1,Z,Cluster 6,Z
11,亳州,33.844623,115.779311,-0.268532137,-0.093425364,-0.043197388,Cluster 2,Cluster 2_a,Cluster 1,Cluster 1_a,Cluster 2,Cluster 2_a,Cluster 5,Cluster 5_a,Cluster 2,Cluster 2_a,Cluster 7,Cluster 7_a,Cluster 2,Cluster 2_b,Cluster 1,Z,Cluster 6,Z
12,和县,31.744224,118.351435,-0.177246999,0.025384842,-0.025309362,Cluster 2,Cluster 2_a,Cluster 1,Cluster 1_a,Cluster 2,Cluster 2_b,Cluster 2,Cluster 2_b,Cluster 6,Cluster 6_a,Cluster 1,Cluster 1_a,Cluster 4,Z,Cluster 5,Z,Cluster 8,Z
13,巢湖,31.623301,117.889374,-0.1916421,0.057212415,-0.040140243,Cluster 2,Cluster 2_a,Cluster 1,Cluster 1_a,Cluster 2,Cluster 2_b,Cluster 2,Cluster 2_b,Cluster 6,Cluster 6_b,Cluster 1,Cluster 1_a,Cluster 4,Z,Cluster 5,Z,Cluster 8,Z
14,无为,31.303172,117.902232,-0.148806461,0.050742447,-0.028289167,Cluster 2,Cluster 2_a,Cluster 1,Cluster 1_b,Cluster 2,Z,Cluster 2,Cluster 2_a,Cluster 6,Cluster 6_a,Cluster 1,Cluster 1_a,Cluster 4,Z,Cluster 5,Cluster 5_a,Cluster 8,Cluster 8_a
15,东至,30.096615,117.027633,-0.074227396,0.134912364,0.030046929,Cluster 2,Cluster 2_b,Cluster 3,Z,Cluster 4,Cluster 4_b,Cluster 2,Cluster 2_a,Cluster 6,Z,Cluster 6,Z,Cluster 3,Z,Cluster 4,Z,Cluster 10,Cluster 10_a
16,池州,30.664711,117.491432,-0.098602259,0.138942263,0.006362493,Cluster 2,Cluster 2_b,Cluster 3,Z,Cluster 4,Cluster 4_b,Cluster 2,Cluster 2_a,Cluster 6,Z,Cluster 6,Z,Cluster 3,Z,Cluster 4,Z,Cluster 10,Cluster 10_a
17,青阳,30.639363,117.847494,-0.0530002,0.155556808,-0.023960491,Cluster 2,Z,Cluster 3,Cluster 3_b,Cluster 4,Cluster 4_a,Cluster 2,Z,Cluster 4,Z,Cluster 6,Cluster 6_a,Cluster 3,Cluster 3_a,Cluster 4,Cluster 4_a,Cluster 10,Cluster 10_a
18,石台,30.210277,117.4862,-0.017617837,0.14255664,0.022437864,Cluster 2,Z,Cluster 3,Cluster 3_a,Cluster 4,Cluster 4_a,Cluster 1,Z,Cluster 4,Cluster 4_a,Cluster 6,Cluster 6_a,Cluster 3,Cluster 3_a,Cluster 4,Cluster 4_a,Cluster 10,Z
19,滁州,32.301807,118.316816,-0.25174203,-0.029907128,-0.021453777,Cluster 2,Cluster 2_a,Cluster 1,Cluster 1_a,Cluster 2,Cluster 2_a,Cluster 5,Cluster 5_b,Cluster 2,Z,Cluster 7,Z,Cluster 2,Z,Cluster 1,Z,Cluster 6,Z
20,合肥,31.820579,117.229009,-0.185476779,0.011749398,-0.048980226,Cluster 2,Cluster 2_a,Cluster 1,Cluster 1_a,Cluster 2,Cluster 2_a,Cluster 2,Z,Cluster 6,Cluster 6_b,Cluster 1,Cluster 1_a,Cluster 4,Z,Cluster 5,Z,Cluster 8,Z
21,濉溪,33.915386,116.766203,-0.269252702,-0.106146158,-0.05298608,Cluster 2,Cluster 2_a,Cluster 1,Cluster 1_a,Cluster 2,Cluster 2_a,Cluster 5,Cluster 5_a,Cluster 2,Cluster 2_a,Cluster 7,Cluster 7_a,Cluster 2,Z,Cluster 1,Z,Cluster 6,Z
22,淮南,32.631438,116.833594,-0.243314652,-0.047826611,-0.027521054,Cluster 2,Cluster 2_a,Cluster 1,Cluster 1_a,Cluster 2,Cluster 2_a,Cluster 5,Cluster 5_a,Cluster 2,Cluster 2_b,Cluster 7,Z,Cluster 6,Z,Cluster 9,Z,Cluster 2,Z
23,黄山区_南门,30.091515,118.187767,0.027748733,0.171283123,-0.036591032,Cluster 1,Cluster 1_b,Cluster 3,Cluster 3_a,Cluster 4,Cluster 4_a,Cluster 1,Cluster 1_a,Cluster 4,Z,Cluster 4,Z,Cluster 1,Z,Cluster 8,Z,Cluster 9,Z
24,祁门,29.854084,117.717132,0.044373175,0.134910531,0.014182413,Cluster 1,Cluster 1_b,Cluster 3,Cluster 3_a,Cluster 4,Cluster 4_a,Cluster 1,Cluster 1_a,Cluster 4,Cluster 4_b,Cluster 4,Z,Cluster 3,Z,Cluster 8,Z,Cluster 9,Cluster 9_a
25,歙县,29.860765,118.413586,0.057334256,0.149051978,-0.014337698,Cluster 1,Cluster 1_b,Cluster 3,Cluster 3_a,Cluster 4,Cluster 4_a,Cluster 1,Cluster 1_a,Cluster 4,Z,Cluster 4,Z,Cluster 3,Z,Cluster 8,Z,Cluster 9,Cluster 9_a
26,屯溪,29.695788,118.315077,0.1102001,0.153991311,-0.01170643,Cluster 1,Cluster 1_a,Cluster 3,Cluster 3_b,Cluster 4,Z,Cluster 1,Cluster 1_a,Cluster 3,Z,Cluster 4,Z,Cluster 8,Z,Cluster 8,Z,Cluster 9,Cluster 9_a
27,休宁,29.786193,118.182455,0.100345844,0.147729485,-0.013221969,Cluster 1,Cluster 1_a,Cluster 3,Cluster 3_b,Cluster 4,Z,Cluster 1,Cluster 1_a,Cluster 3,Z,Cluster 4,Z,Cluster 8,Z,Cluster 8,Z,Cluster 9,Cluster 9_a
28,黟县,29.92475,117.938329,0.076638654,0.117594248,-0.008035994,Cluster 1,Cluster 1_a,Cluster 3,Cluster 3_a,Cluster 4,Cluster 4_b,Cluster 1,Cluster 1_a,Cluster 4,Z,Cluster 4,Cluster 4_a,Cluster 8,Z,Cluster 8,Cluster 8_a,Cluster 9,Cluster 9_a
29,霍邱,32.353203,116.278222,-0.246171853,-0.047938017,-0.019548222,Cluster 2,Cluster 2_a,Cluster 1,Cluster 1_a,Cluster 2,Cluster 2_a,Cluster 5,Cluster 5_a,Cluster 2,Cluster 2_b,Cluster 7,Z,Cluster 6,Z,Cluster 9,Z,Cluster 2,Z
30,霍山,31.392786,116.332673,-0.243843264,-0.0212596,0.000674146,Cluster 2,Cluster 2_a,Cluster 1,Cluster 1_a,Cluster 2,Cluster 2_a,Cluster 5,Z,Cluster 6,Z,Cluster 1,Z,Cluster 6,Z,Cluster 9,Z,Cluster 2,Z
31,舒城,31.462085,116.948676,-0.216661742,0.002732241,-0.040455288,Cluster 2,Cluster 2_a,Cluster 1,Cluster 1_a,Cluster 2,Cluster 2_a,Cluster 5,Z,Cluster 6,Z,Cluster 1,Z,Cluster 6,Z,Cluster 9,Z,Cluster 2,Z
32,当涂,31.569919,118.497814,-0.086404277,0.12875441,-0.057710226,Cluster 2,Cluster 2_b,Cluster 3,Z,Cluster 4,Cluster 4_b,Cluster 2,Z,Cluster 6,Z,Cluster 6,Z,Cluster 3,Z,Cluster 4,Cluster 4_a,Cluster 10,Cluster 10_a
33,马鞍山,31.670691,118.506123,-0.195068945,0.013075763,-0.043155795,Cluster 2,Cluster 2_a,Cluster 1,Cluster 1_a,Cluster 2,Cluster 2_a,Cluster 2,Z,Cluster 6,Cluster 6_b,Cluster 1,Cluster 1_b,Cluster 4,Z,Cluster 5,Z,Cluster 8,Z
34,灵璧,33.542334,117.558553,-0.264393297,-0.078854449,-0.038889943,Cluster 2,Cluster 2_a,Cluster 1,Cluster 1_a,Cluster 2,Cluster 2_a,Cluster 5,Cluster 5_a,Cluster 2,Cluster 2_a,Cluster 7,Cluster 7_a,Cluster 2,Z,Cluster 1,Z,Cluster 2,Z
35,铜陵县,30.944875,117.812328,-0.149604993,0.068983564,-0.009244027,Cluster 2,Cluster 2_a,Cluster 1,Cluster 1_b,Cluster 2,Z,Cluster 2,Cluster 2_a,Cluster 6,Cluster 6_a,Cluster 1,Cluster 1_a,Cluster 4,Cluster 4_a,Cluster 5,Cluster 5_a,Cluster 8,Cluster 8_a
36,繁昌,31.08292,118.199346,-0.127090619,0.082765139,-0.053266282,Cluster 2,Cluster 2_a,Cluster 1,Z,Cluster 4,Z,Cluster 2,Cluster 2_a,Cluster 6,Cluster 6_a,Cluster 1,Z,Cluster 4,Cluster 4_a,Cluster 5,Z,Cluster 8,Z
37,芜湖市_银湖,31.405336,118.382401,-0.179785136,0.055651524,-0.030221749,Cluster 2,Cluster 2_a,Cluster 1,Cluster 1_b,Cluster 2,Z,Cluster 2,Cluster 2_b,Cluster 6,Cluster 6_b,Cluster 1,Cluster 1_a,Cluster 4,Z,Cluster 5,Z,Cluster 8,Z
38,南陵,30.914645,118.334032,-0.083095854,0.134453963,-0.047248885,Cluster 2,Cluster 2_b,Cluster 3,Z,Cluster 4,Cluster 4_b,Cluster 2,Cluster 2_b,Cluster 6,Z,Cluster 6,Z,Cluster 3,Z,Cluster 4,Cluster 4_a,Cluster 10,Cluster 10_a
39,芜湖县_行春,31.193125,118.475019,-0.154659343,0.090943515,-0.040924621,Cluster 2,Cluster 2_a,Cluster 1,Z,Cluster 4,Z,Cluster 2,Cluster 2_a,Cluster 6,Cluster 6_a,Cluster 1,Z,Cluster 4,Z,Cluster 5,Z,Cluster 8,Z
40,广德,30.893809,119.417047,-0.230432877,0.019634502,0.019063911,Cluster 2,Cluster 2_a,Cluster 1,Cluster 1_a,Cluster 2,Cluster 2_a,Cluster 2,Z,Cluster 6,Cluster 6_a,Cluster 1,Cluster 1_a,Cluster 4,Cluster 4_b,Cluster 5,Cluster 5_a,Cluster 8,Cluster 8_a
41,绩溪,30.066333,118.579926,0.094115441,0.189773231,-0.015559496,Cluster 1,Cluster 1_a,Cluster 3,Cluster 3_b,Cluster 4,Z,Cluster 1,Cluster 1_a,Cluster 3,Z,Cluster 4,Z,Cluster 8,Z,Cluster 8,Z,Cluster 9,Z
42,旌德,30.286374,118.540455,-0.037445179,0.142206299,0.007727478,Cluster 2,Z,Cluster 3,Cluster 3_a,Cluster 4,Cluster 4_a,Cluster 1,Z,Cluster 4,Cluster 4_a,Cluster 6,Cluster 6_a,Cluster 3,Cluster 3_a,Cluster 4,Cluster 4_a,Cluster 10,Cluster 10_a
43,泾县,30.688534,118.419696,-0.045370184,0.150669948,-0.043488785,Cluster 2,Z,Cluster 3,Cluster 3_a,Cluster 4,Cluster 4_a,Cluster 1,Z,Cluster 4,Cluster 4_a,Cluster 6,Cluster 6_a,Cluster 3,Cluster 3_a,Cluster 4,Cluster 4_a,Cluster 10,Cluster 10_a
44,郎溪,31.126593,119.179445,-0.154832921,0.059036047,-0.033301975,Cluster 2,Cluster 2_a,Cluster 1,Cluster 1_b,Cluster 2,Z,Cluster 2,Cluster 2_a,Cluster 6,Cluster 6_a,Cluster 1,Cluster 1_a,Cluster 4,Cluster 4_a,Cluster 5,Cluster 5_a,Cluster 8,Cluster 8_a
45,宁国,30.633622,118.983327,-0.182543681,0.04624628,0.004793444,Cluster 2,Cluster 2_a,Cluster 1,Cluster 1_a,Cluster 2,Cluster 2_b,Cluster 2,Cluster 2_b,Cluster 6,Cluster 6_a,Cluster 1,Cluster 1_a,Cluster 4,Cluster 4_a,Cluster 5,Cluster 5_a,Cluster 8,Cluster 8_a
46,宣城,30.940789,118.758655,-0.106394943,0.129145778,-0.050028119,Cluster 2,Cluster 2_b,Cluster 3,Z,Cluster 4,Cluster 4_b,Cluster 2,Cluster 2_b,Cluster 6,Z,Cluster 6,Z,Cluster 3,Z,Cluster 4,Z,Cluster 10,Cluster 10_a
47,澳门,22.201675,113.544008,0.269746164,-0.102789917,0.198575891,Cluster 1,Cluster 1_a,Cluster 2,Cluster 2_b,Cluster 3,Cluster 3_a,Cluster 3,Cluster 3_a,Cluster 5,Cluster 5_a,Cluster 3,Cluster 3_a,Cluster 5,Cluster 5_a,Cluster 7,Cluster 7_a,Cluster 1,Cluster 1_a
48,北京,39.904725,116.407215,-0.285926565,-0.092822394,-0.005134397,Cluster 2,Cluster 2_a,Cluster 1,Cluster 1_a,Cluster 2,Cluster 2_a,Cluster 5,Cluster 5_a,Cluster 2,Cluster 2_a,Cluster 7,Cluster 7_a,Cluster 2,Cluster 2_a,Cluster 1,Cluster 1_a,Cluster 6,Cluster 6_a
49,平谷,40.14062,117.121406,-0.29371439,-0.122217111,-0.025946562,Cluster 2,Cluster 2_a,Cluster 1,Cluster 1_a,Cluster 2,Cluster 2_a,Cluster 5,Cluster 5_a,Cluster 2,Cluster 2_a,Cluster 7,Cluster 7_a,Cluster 2,Cluster 2_a,Cluster 1,Cluster 1_a,Cluster 6,Cluster 6_a
50,延庆,40.458764,115.984516,-0.289363443,-0.106414145,-0.018165069,Cluster 2,Cluster 2_a,Cluster 1,Cluster 1_a,Cluster 2,Cluster 2_a,Cluster 5,Cluster 5_a,Cluster 2,Cluster 2_a,Cluster 7,Cluster 7_a,Cluster 2,Cluster 2_a,Cluster 1,Cluster 1_a,Cluster 6,Cluster 6_a
51,重庆,29.564705,106.550714,-0.19017429,0.025514206,0.060323888,Cluster 2,Cluster 2_a,Cluster 1,Cluster 1_a,Cluster 2,Cluster 2_b,Cluster 2,Cluster 2_a,Cluster 6,Cluster 6_a,Cluster 1,Cluster 1_a,Cluster 4,Cluster 4_a,Cluster 5,Cluster 5_a,Cluster 8,Cluster 8_a
52,大足,29.701774,105.708262,-0.181143742,0.031854698,0.054830865,Cluster 2,Cluster 2_a,Cluster 1,Cluster 1_a,Cluster 2,Cluster 2_b,Cluster 2,Cluster 2_a,Cluster 6,Cluster 6_a,Cluster 1,Cluster 1_a,Cluster 4,Cluster 4_a,Cluster 5,Cluster 5_a,Cluster 8,Cluster 8_a
53,武隆,29.325437,107.759935,-0.169662666,0.048765591,0.051076461,Cluster 2,Cluster 2_a,Cluster 1,Cluster 1_b,Cluster 2,Z,Cluster 2,Cluster 2_a,Cluster 6,Cluster 6_a,Cluster 1,Cluster 1_a,Cluster 4,Cluster 4_a,Cluster 5,Cluster 5_a,Cluster 8,Cluster 8_a
54,秀山,28.448315,109.007119,-0.157571187,0.049252385,0.062582786,Cluster 2,Cluster 2_a,Cluster 1,Cluster 1_b,Cluster 2,Z,Cluster 2,Cluster 2_a,Cluster 6,Cluster 6_a,Cluster 1,Cluster 1_a,Cluster 4,Cluster 4_a,Cluster 5,Cluster 5_a,Cluster 8,Cluster 8_a
55,云阳,30.930618,108.696957,-0.188310766,0.019782893,0.063288099,Cluster 2,Cluster 2_a,Cluster 1,Cluster 1_a,Cluster 2,Cluster 2_b,Cluster 2,Cluster 2_a,Cluster 6,Cluster 6_a,Cluster 1,Cluster 1_a,Cluster 4,Cluster 4_a,Cluster 5,Cluster 5_a,Cluster 8,Cluster 8_a
56,忠县,30.300251,108.037659,-0.181201491,0.031532604,0.068681139,Cluster 2,Cluster 2_a,Cluster 1,Cluster 1_b,Cluster 2,Cluster 2_b,Cluster 2,Cluster 2_a,Cluster 6,Cluster 6_a,Cluster 1,Cluster 1_a,Cluster 4,Cluster 4_a,Cluster 5,Cluster 5_a,Cluster 8,Cluster 8_a
57,綦江,29.028006,106.651315,-0.174043914,0.03112883,0.052898971,Cluster 2,Cluster 2_a,Cluster 1,Cluster 1_b,Cluster 2,Cluster 2_b,Cluster 2,Cluster 2_a,Cluster 6,Cluster 6_a,Cluster 1,Cluster 1_a,Cluster 4,Cluster 4_a,Cluster 5,Cluster 5_a,Cluster 8,Cluster 8_a
58,长乐,25.962844,119.523253,0.252849515,-0.144261737,-0.247559425,Cluster 1,Cluster 1_a,Cluster 2,Cluster 2_a,Cluster 1,Cluster 1_a,Cluster 4,Cluster 4_a,Cluster 1,Cluster 1_a,Cluster 5,Cluster 5_a,Cluster 7,Cluster 7_a,Cluster 6,Cluster 6_a,Cluster 5,Cluster 5_a
59,福清,25.720244,119.384112,0.249959385,-0.176927284,-0.245108274,Cluster 1,Cluster 1_a,Cluster 2,Cluster 2_a,Cluster 1,Cluster 1_a,Cluster 4,Cluster 4_a,Cluster 1,Cluster 1_a,Cluster 5,Cluster 5_a,Cluster 7,Cluster 7_a,Cluster 6,Cluster 6_a,Cluster 5,Cluster 5_a
60,福州,26.074198,119.296447,0.263643169,-0.156584437,-0.256942409,Cluster 1,Cluster 1_a,Cluster 2,Cluster 2_b,Cluster 1,Cluster 1_a,Cluster 4,Cluster 4_a,Cluster 1,Cluster 1_a,Cluster 5,Cluster 5_a,Cluster 7,Cluster 7_a,Cluster 6,Cluster 6_a,Cluster 5,Cluster 5_a
61,连江,26.197543,119.539578,0.271513519,-0.182224754,-0.218198112,Cluster 1,Cluster 1_a,Cluster 2,Cluster 2_a,Cluster 1,Cluster 1_a,Cluster 4,Cluster 4_a,Cluster 1,Cluster 1_a,Cluster 5,Cluster 5_a,Cluster 7,Cluster 7_a,Cluster 6,Cluster 6_a,Cluster 5,Cluster 5_a
